timestamp,instance_id,metric_label,value,min_range,max_range
2026-02-07 00:00:00,server-01,CPU,31.88,0,100
2026-02-07 00:01:00,server-01,CPU,33.97,0,100
2026-02-07 00:02:00,server-01,CPU,28.44,0,100
2026-02-07 00:03:00,server-01,CPU,28.0,0,100
2026-02-07 00:04:00,server-01,CPU,49.48,0,100
2026-02-07 00:05:00,server-01,CPU,35.64,0,100
2026-02-07 00:06:00,server-01,CPU,32.06,0,100
2026-02-07 00:07:00,server-01,CPU,20.42,0,100
2026-02-07 00:08:00,server-01,CPU,36.15,0,100
2026-02-07 00:09:00,server-01,CPU,31.76,0,100
2026-02-07 00:10:00,server-01,CPU,22.21,0,100
2026-02-07 00:11:00,server-01,CPU,31.52,0,100
2026-02-07 00:12:00,server-01,CPU,32.13,0,100
2026-02-07 00:13:00,server-01,CPU,30.4,0,100
2026-02-07 00:14:00,server-01,CPU,26.07,0,100
2026-02-07 00:15:00,server-01,CPU,42.1,0,100
2026-02-07 00:16:00,server-01,CPU,49.22,0,100
2026-02-07 00:17:00,server-01,CPU,38.02,0,100
2026-02-07 00:18:00,server-01,CPU,44.69,0,100
2026-02-07 00:19:00,server-01,CPU,33.84,0,100
2026-02-07 00:20:00,server-01,CPU,31.23,0,100
2026-02-07 00:21:00,server-01,CPU,27.08,0,100
2026-02-07 00:22:00,server-01,CPU,24.98,0,100
2026-02-07 00:23:00,server-01,CPU,31.62,0,100
2026-02-07 00:24:00,server-01,CPU,40.74,0,100
2026-02-07 00:25:00,server-01,CPU,24.77,0,100
2026-02-07 00:26:00,server-01,CPU,22.28,0,100
2026-02-07 00:27:00,server-01,CPU,47.08,0,100
2026-02-07 00:28:00,server-01,CPU,32.63,0,100
2026-02-07 00:29:00,server-01,CPU,36.77,0,100
2026-02-07 00:30:00,server-01,CPU,46.74,0,100
2026-02-07 00:31:00,server-01,CPU,30.79,0,100
2026-02-07 00:32:00,server-01,CPU,32.29,0,100
2026-02-07 00:33:00,server-01,CPU,25.59,0,100
2026-02-07 00:34:00,server-01,CPU,39.55,0,100
2026-02-07 00:35:00,server-01,CPU,34.47,0,100
2026-02-07 00:36:00,server-01,CPU,39.87,0,100
2026-02-07 00:37:00,server-01,CPU,35.53,0,100
2026-02-07 00:38:00,server-01,CPU,47.31,0,100
2026-02-07 00:39:00,server-01,CPU,26.11,0,100
2026-02-07 00:40:00,server-01,CPU,26.68,0,100
2026-02-07 00:41:00,server-01,CPU,38.53,0,100
2026-02-07 00:42:00,server-01,CPU,44.5,0,100
2026-02-07 00:43:00,server-01,CPU,36.37,0,100
2026-02-07 00:44:00,server-01,CPU,39.63,0,100
2026-02-07 00:45:00,server-01,CPU,45.18,0,100
2026-02-07 00:46:00,server-01,CPU,24.67,0,100
2026-02-07 00:47:00,server-01,CPU,44.88,0,100
2026-02-07 00:48:00,server-01,CPU,30.22,0,100
2026-02-07 00:49:00,server-01,CPU,20.62,0,100
2026-02-07 00:50:00,server-01,CPU,25.61,0,100
2026-02-07 00:51:00,server-01,CPU,48.11,0,100
2026-02-07 00:52:00,server-01,CPU,43.23,0,100
2026-02-07 00:53:00,server-01,CPU,37.97,0,100
2026-02-07 00:54:00,server-01,CPU,42.13,0,100
2026-02-07 00:55:00,server-01,CPU,31.18,0,100
2026-02-07 00:56:00,server-01,CPU,46.06,0,100
2026-02-07 00:57:00,server-01,CPU,41.07,0,100
2026-02-07 00:58:00,server-01,CPU,31.54,0,100
2026-02-07 00:59:00,server-01,CPU,21.53,0,100
2026-02-07 01:00:00,server-01,CPU,24.41,0,100
2026-02-07 01:01:00,server-01,CPU,48.57,0,100
2026-02-07 01:02:00,server-01,CPU,25.01,0,100
2026-02-07 01:03:00,server-01,CPU,39.49,0,100
2026-02-07 01:04:00,server-01,CPU,42.79,0,100
2026-02-07 01:05:00,server-01,CPU,24.86,0,100
2026-02-07 01:06:00,server-01,CPU,21.16,0,100
2026-02-07 01:07:00,server-01,CPU,30.25,0,100
2026-02-07 01:08:00,server-01,CPU,30.16,0,100
2026-02-07 01:09:00,server-01,CPU,23.49,0,100
2026-02-07 01:10:00,server-01,CPU,34.8,0,100
2026-02-07 01:11:00,server-01,CPU,38.56,0,100
2026-02-07 01:12:00,server-01,CPU,33.34,0,100
2026-02-07 01:13:00,server-01,CPU,37.01,0,100
2026-02-07 01:14:00,server-01,CPU,37.28,0,100
2026-02-07 01:15:00,server-01,CPU,40.28,0,100
2026-02-07 01:16:00,server-01,CPU,38.77,0,100
2026-02-07 01:17:00,server-01,CPU,38.24,0,100
2026-02-07 01:18:00,server-01,CPU,32.75,0,100
2026-02-07 01:19:00,server-01,CPU,42.0,0,100
2026-02-07 01:20:00,server-01,CPU,21.29,0,100
2026-02-07 01:21:00,server-01,CPU,37.48,0,100
2026-02-07 01:22:00,server-01,CPU,38.42,0,100
2026-02-07 01:23:00,server-01,CPU,46.55,0,100
2026-02-07 01:24:00,server-01,CPU,30.39,0,100
2026-02-07 01:25:00,server-01,CPU,41.53,0,100
2026-02-07 01:26:00,server-01,CPU,43.45,0,100
2026-02-07 01:27:00,server-01,CPU,41.57,0,100
2026-02-07 01:28:00,server-01,CPU,21.81,0,100
2026-02-07 01:29:00,server-01,CPU,42.03,0,100
2026-02-07 01:30:00,server-01,CPU,22.34,0,100
2026-02-07 01:31:00,server-01,CPU,44.53,0,100
2026-02-07 01:32:00,server-01,CPU,27.18,0,100
2026-02-07 01:33:00,server-01,CPU,46.3,0,100
2026-02-07 01:34:00,server-01,CPU,35.72,0,100
2026-02-07 01:35:00,server-01,CPU,26.27,0,100
2026-02-07 01:36:00,server-01,CPU,25.83,0,100
2026-02-07 01:37:00,server-01,CPU,38.2,0,100
2026-02-07 01:38:00,server-01,CPU,29.34,0,100
2026-02-07 01:39:00,server-01,CPU,37.98,0,100
2026-02-07 01:40:00,server-01,CPU,29.85,0,100
2026-02-07 01:41:00,server-01,CPU,46.14,0,100
2026-02-07 01:42:00,server-01,CPU,28.27,0,100
2026-02-07 01:43:00,server-01,CPU,36.13,0,100
2026-02-07 01:44:00,server-01,CPU,20.04,0,100
2026-02-07 01:45:00,server-01,CPU,46.49,0,100
2026-02-07 01:46:00,server-01,CPU,34.04,0,100
2026-02-07 01:47:00,server-01,CPU,49.18,0,100
2026-02-07 01:48:00,server-01,CPU,31.57,0,100
2026-02-07 01:49:00,server-01,CPU,49.95,0,100
2026-02-07 01:50:00,server-01,CPU,40.05,0,100
2026-02-07 01:51:00,server-01,CPU,28.54,0,100
2026-02-07 01:52:00,server-01,CPU,41.17,0,100
2026-02-07 01:53:00,server-01,CPU,36.08,0,100
2026-02-07 01:54:00,server-01,CPU,27.37,0,100
2026-02-07 01:55:00,server-01,CPU,44.79,0,100
2026-02-07 01:56:00,server-01,CPU,33.07,0,100
2026-02-07 01:57:00,server-01,CPU,29.95,0,100
2026-02-07 01:58:00,server-01,CPU,26.94,0,100
2026-02-07 01:59:00,server-01,CPU,46.04,0,100
2026-02-07 02:00:00,server-01,CPU,30.48,0,100
2026-02-07 02:01:00,server-01,CPU,28.29,0,100
2026-02-07 02:02:00,server-01,CPU,36.55,0,100
2026-02-07 02:03:00,server-01,CPU,27.24,0,100
2026-02-07 02:04:00,server-01,CPU,45.93,0,100
2026-02-07 02:05:00,server-01,CPU,32.16,0,100
2026-02-07 02:06:00,server-01,CPU,34.23,0,100
2026-02-07 02:07:00,server-01,CPU,47.14,0,100
2026-02-07 02:08:00,server-01,CPU,45.1,0,100
2026-02-07 02:09:00,server-01,CPU,49.27,0,100
2026-02-07 02:10:00,server-01,CPU,41.1,0,100
2026-02-07 02:11:00,server-01,CPU,22.06,0,100
2026-02-07 02:12:00,server-01,CPU,44.92,0,100
2026-02-07 02:13:00,server-01,CPU,39.41,0,100
2026-02-07 02:14:00,server-01,CPU,28.39,0,100
2026-02-07 02:15:00,server-01,CPU,34.48,0,100
2026-02-07 02:16:00,server-01,CPU,38.97,0,100
2026-02-07 02:17:00,server-01,CPU,36.0,0,100
2026-02-07 02:18:00,server-01,CPU,46.05,0,100
2026-02-07 02:19:00,server-01,CPU,40.13,0,100
2026-02-07 02:20:00,server-01,CPU,49.73,0,100
2026-02-07 02:21:00,server-01,CPU,21.32,0,100
2026-02-07 02:22:00,server-01,CPU,25.33,0,100
2026-02-07 02:23:00,server-01,CPU,32.65,0,100
2026-02-07 02:24:00,server-01,CPU,43.13,0,100
2026-02-07 02:25:00,server-01,CPU,30.47,0,100
2026-02-07 02:26:00,server-01,CPU,36.44,0,100
2026-02-07 02:27:00,server-01,CPU,36.76,0,100
2026-02-07 02:28:00,server-01,CPU,45.61,0,100
2026-02-07 02:29:00,server-01,CPU,23.64,0,100
2026-02-07 02:30:00,server-01,CPU,32.56,0,100
2026-02-07 02:31:00,server-01,CPU,27.11,0,100
2026-02-07 02:32:00,server-01,CPU,41.57,0,100
2026-02-07 02:33:00,server-01,CPU,21.23,0,100
2026-02-07 02:34:00,server-01,CPU,35.58,0,100
2026-02-07 02:35:00,server-01,CPU,37.54,0,100
