timestamp,instance_id,metric_label,value,min_range,max_range,memory_gb,storage_gb
2026-02-06 00:00:00,Web-Server-01,CPU_usage,29.9,0,100,8,50
2026-02-06 00:15:00,Web-Server-01,CPU_usage,37.73,0,100,8,50
2026-02-06 00:30:00,Web-Server-01,CPU_usage,20.59,0,100,8,50
2026-02-06 00:45:00,Web-Server-01,CPU_usage,33.46,0,100,8,50
2026-02-06 01:00:00,Web-Server-01,CPU_usage,34.68,0,100,8,50
2026-02-06 01:15:00,Web-Server-01,CPU_usage,42.82,0,100,8,50
2026-02-06 01:30:00,Web-Server-01,CPU_usage,37.68,0,100,8,50
2026-02-06 01:45:00,Web-Server-01,CPU_usage,32.22,0,100,8,50
2026-02-06 02:00:00,Web-Server-01,CPU_usage,39.76,0,100,8,50
2026-02-06 02:15:00,Web-Server-01,CPU_usage,34.07,0,100,8,50
2026-02-06 02:30:00,Web-Server-01,CPU_usage,38.24,0,100,8,50
2026-02-06 02:45:00,Web-Server-01,CPU_usage,40.61,0,100,8,50
2026-02-06 03:00:00,Web-Server-01,CPU_usage,46.35,0,100,8,50
2026-02-06 03:15:00,Web-Server-01,CPU_usage,42.68,0,100,8,50
2026-02-06 03:30:00,Web-Server-01,CPU_usage,42.71,0,100,8,50
2026-02-06 03:45:00,Web-Server-01,CPU_usage,44.78,0,100,8,50
2026-02-06 04:00:00,Web-Server-01,CPU_usage,53.59,0,100,8,50
2026-02-06 04:15:00,Web-Server-01,CPU_usage,60.12,0,100,8,50
2026-02-06 04:30:00,Web-Server-01,CPU_usage,52.33,0,100,8,50
2026-02-06 04:45:00,Web-Server-01,CPU_usage,41.24,0,100,8,50
2026-02-06 05:00:00,Web-Server-01,CPU_usage,60.93,0,100,8,50
2026-02-06 05:15:00,Web-Server-01,CPU_usage,56.41,0,100,8,50
2026-02-06 05:30:00,Web-Server-01,CPU_usage,51.98,0,100,8,50
2026-02-06 05:45:00,Web-Server-01,CPU_usage,57.27,0,100,8,50
